"","beta1","rho1","eta1","mu1","nu1"
"1",479.11592655826,303.455254390395,-0.967385480143738,27.5334005748144,132.388397411852
"2",92.487122522457,94.4730491190318,-0.483826982502282,42.4692165784249,122.832872563368
"3",313.222987915652,112.630446724474,-0.940952751115359,36.5739349483754,69.0255808922625
"4",753.236924403894,423.409141214477,-0.973369707032635,21.8817019868124,65.498623546374
"5",81.2738231433152,188.897597678428,-0.317732106107182,42.8582066246019,213.607658905223
"6",59.523253646744,214.60445728563,-0.149472509175077,46.6999572118941,274.631530588497
"7",283.19667387864,129.585601069593,-0.942977747030606,34.7404988589979,44.7067333400608
"8",88.985923212653,137.556212994003,-0.00662896966505598,49.3712434369328,154.724225977813
"9",137.654917532632,211.344787313124,-0.586137986792361,40.9444257563479,251.450231194309
"10",170.329380292036,246.993220038879,-0.709372651713676,40.7142268488432,299.618500421456
"11",33.2145333326523,106.071701025058,0.0700400640966467,49.6202949566064,155.542304986965
"12",80.1888398618421,101.278083372757,-0.324244222329495,45.0104028762731,120.042487099646
"13",408.735576756617,506.674746473326,0.419002602212611,55.8036579808265,572.297832963861
"14",432.094550780675,311.215240751174,-0.93967758019578,32.9833443338804,254.982965495988
"15",601.728223349266,386.251030535271,-0.965670970298765,23.3429304695329,120.085337103067
"16",125.45789433237,217.136263771398,0.127983130297404,50.5257346517258,264.925849666111
"17",95.6244013451212,124.23843536289,-0.183847971140586,46.3986769749715,136.055675661998
"18",211.267732539262,339.025052053074,0.132502408500518,48.7653548232886,419.498547345966
"19",1201.88246862698,651.113954673142,-0.972903430458345,14.419310605988,12.9097423269558
"20",328.429000290727,184.089012471366,-0.903795478285421,35.1467440003732,93.4883312799485
"21",69.9681291569557,149.181843559398,-0.0963836763016199,47.1262224816619,181.734604695284
"22",124.105230161678,206.73560647167,0.056830631317221,49.262664450172,249.887569563923
"23",164.792623004301,192.638708063605,0.293296772754848,52.8880360644821,220.616683746784
"24",23.2075025091616,123.619756687217,-0.0899603970867375,48.3932819946218,156.301112053489
"25",207.645576928264,324.226125124942,-0.639385406466397,42.0708036274796,425.046131534253
"26",105.832337787465,147.863473760303,-0.549315239413929,42.3459920668445,195.841962927129
