OS,S,Q,Std,X,R
1,1,45,5,40,30.55374593
1,1,45,5,50,40.26058632
1,1,40,0,40,34.65798046
1,1,50,10,40,48.59934853
1,1,55,15,70,55.70032573
1,1,45,15,60,44.75570033
1,1,55,5,60,48.79478827
1,1,45,15,30,26.31921824
1,1,55,5,50,37.32899023
1,1,50,0,50,36.02605863
1,1,30,0,30,22.80130293
1,1,50,20,30,27.62214984
1,1,50,20,70,52.63843648
1,1,55,15,40,31.00977199
1,1,60,0,60,50.03257329
1,1,50,10,60,47.55700326
1,1,45,15,60,49.77198697
1,1,50,10,40,33.35504886
1,1,50,10,60,41.36807818
1,1,50,20,30,26.38436482
1,1,55,15,40,30.03257329
1,1,45,15,30,20.06514658
1,1,55,15,70,54.46254072
1,1,50,20,70,65.7980456
1,1,30,0,30,20.71661238
1,1,55,5,50,36.93811075
1,1,50,0,50,32.76872964
1,1,60,0,60,44.03908795
1,1,55,5,60,50.16286645
1,1,45,5,50,30.81433225
1,1,40,0,40,30.03257329
1,1,45,5,40,30.16286645
1,1,30,0,30,20.78175896
1,1,50,20,30,26.31921824
1,1,55,5,50,38.50162866
1,1,50,10,60,42.67100977
1,1,50,20,70,48.53420195
1,1,55,15,70,49.83713355
1,1,45,15,60,44.23452769
1,1,45,15,30,26.7752443
1,1,60,0,60,46.31921824
1,1,50,0,50,34.8534202
1,1,55,5,60,44.82084691
1,1,40,0,40,27.36156352
1,1,45,5,40,24.56026059
1,1,50,10,40,29.83713355
1,1,45,5,50,31.00977199
1,1,55,15,40,29.44625407
1,1,50,0,50,33.02931596
1,1,60,0,60,38.50162866
1,1,50,20,30,28.33876221
1,1,55,15,40,29.83713355
1,1,55,5,60,39.21824104
1,1,30,0,30,22.34527687
1,1,55,5,50,34.2019544
1,1,40,0,40,30.03257329
1,1,45,15,30,22.99674267
1,1,45,5,40,25.7980456
1,1,50,10,60,37.52442997
1,1,45,15,60,43.90879479
1,1,50,10,40,26.57980456
1,1,45,5,50,25.92833876
1,1,55,15,70,47.23127036
1,1,50,20,70,29.64169381
1,1,50,20,30,21.69381107
1,1,55,15,70,42.73615635
