"","a"
"1",39.706811418427
"2",44.11159422391
"3",39.7589257187673
"4",44.0617688487412
"5",44.0465770738179
"6",39.6819932371112
"7",44.0240178677624
"8",39.83148120113
"9",44.1131136868797
"10",39.7385352989608
"11",46.6093189706233
"12",40.6556021564839
"13",34.1527359423445
"14",40.1675506417656
"15",40.5557520604783
"16",40.1209309422097
"17",34.0658476687434
"18",46.5855935207298
"19",46.485818316479
"20",40.5683662388951
"21",34.1564355609183
"22",40.1021775810793
"23",40.1618544652865
"24",34.0805875153649
"25",40.6090303030924
"26",46.6185834885571
"27",46.5083757595834
"28",40.1073108240884
"29",34.1537606303959
"30",40.6379324264079
"31",34.6015872022965
"32",43.1450264913982
"33",34.5733354155044
"34",43.0397444129347
"35",34.5760975266554
"36",43.0021046196162
"37",34.5069318054481
"38",43.1585818675571
"39",34.4525882816306
"40",43.1329784207303
"41",42.33456102668
"42",55.4077844613525
"43",42.2985239470888
"44",55.3668395717857
"45",42.2489265433547
"46",55.3477398612037
"47",42.2326754777849
"48",55.4178479983679
"49",55.3230902704724
"50",42.2154671298303
"51",62.586521241682
"52",42.8387128438287
"53",34.5919232304802
"54",54.3981591832038
"55",42.8239705217345
"56",34.5463909033271
"57",54.3779152356287
"58",62.605899670775
"59",62.6489586875472
"60",42.8216129731749
"61",54.3576614428972
"62",34.524677567016
"63",42.8389228937764
"64",34.6106786991251
"65",54.3476843168283
"66",62.6665016365661
"67",42.883604460171
"68",54.3180140715823
"69",62.5939724789526
"70",34.5329234307799
"71",35.1992979174041
"72",61.4521206871484
"73",61.4811532305107
"74",35.1938985392176
"75",61.4633135674969
"76",35.2378892853277
"77",35.129988216844
"78",61.4862788124442
"79",35.1096984189661
"80",61.4975980284661
"81",46.2448397133447
"82",41.0372633163489
"83",46.323193565491
"84",41.1702745225206
"85",41.1126712669472
"86",46.2888545441267
"87",41.0589186158036
"88",46.2422634525078
"89",46.2325641182251
"90",41.0543224720911
"91",41.6774336624006
"92",49.4372108365169
"93",35.4329469030286
"94",43.2294383285667
"95",41.8061281877054
"96",43.1585737194057
"97",49.473701399915
"98",35.4133969297786
"99",43.2108466972325
"100",49.5119435920012
"101",35.42696933942
"102",41.7249801853849
"103",35.3901220905155
"104",43.24785557004
"105",41.7124318498327
"106",49.5535131847179
"107",43.1817771422343
"108",41.746148874162
"109",49.4973953499458
"110",35.3447643623818
"111",46.3526931887132
"112",35.9921537364037
"113",35.9298239726786
"114",46.4321234234725
"115",35.9698139660853
"116",46.379980992528
"117",46.4162890382921
"118",36.0153857473633
"119",36.0586888085779
"120",46.2711888407197
"121",19.985428280071
"122",21.0054850229989
"123",21.0834262732857
"124",20.0645575799195
"125",21.1799330551845
"126",19.9748565568431
"127",21.1357041299717
"128",20.0095625786234
"129",19.8560094932921
"130",21.1139819663267
"131",19.6580274841901
"132",21.8567441781845
"133",20.1099962977741
"134",18.0861156277716
"135",19.7667760419768
"136",19.9410831220017
"137",21.6718027778586
"138",19.6631341969918
"139",18.024893774443
"140",20.0432717487695
"141",21.7702281843215
"142",20.0230175411083
"143",21.7855058224473
"144",19.8262832700587
"145",20.012533482469
"146",19.6939089219922
"147",18.11601812363
"148",21.609872382163
"149",20.3464653539439
"150",18.0776849406674
"151",20.3212575835296
"152",18.1113533118133
"153",20.3515125211694
"154",20.2278323582651
"155",20.4745061623765
"156",18.0768114523138
"157",46.1723285917258
"158",41.5481097810377
"159",41.4977046450241
"160",46.1448723108971
"161",41.4926967758389
"162",46.1768392843517
"163",46.181530296909
"164",41.6131098208943
"165",41.5034177969701
"166",46.1559315913368
"167",36.3349753493159
"168",42.2224996079765
"169",43.2571783414438
"170",49.2344437768701
"171",42.0865089186327
"172",49.1377323890375
"173",36.3662472074636
"174",43.2988925317315
"175",36.3033237355226
"176",43.2629118063135
"177",49.2073914973154
"178",42.2493965891075
"179",42.257136292331
"180",43.2766933949644
"181",36.3121415831735
"182",49.1459792802615
"183",42.2275761160574
"184",36.2635655774018
"185",43.312922809027
"186",49.2540676442484
"187",46.2301696435976
"188",36.9127205409003
"189",46.2555909464594
"190",37.0462137470158
"191",36.9839801055244
"192",46.3199160873914
"193",46.3194119285367
"194",37.0083823083663
"195",36.9323402039344
"196",46.3433276225799
"197",56.7144549810988
"198",43.2728975235107
"199",43.2404757211513
"200",56.51257686328
"201",43.1094644566549
"202",56.6907423270431
"203",43.339726219257
"204",56.6259821909492
"205",43.2395367343721
"206",64.0930731851933
"207",44.0032742862197
"208",55.7289051958381
"209",35.660037523545
"210",63.9857890639697
"211",55.6320375429962
"212",44.0835343924822
"213",35.679602744148
"214",64.1359952030087
"215",44.093949069114
"216",55.6974118592209
"217",35.5903609096343
"218",35.6773807755322
"219",43.9854410796011
"220",64.0732714784553
"221",55.7270845260116
"222",55.652503576425
"223",35.5725709806876
"224",64.067006698064
"225",44.0355733383044
"226",63.1800478100745
"227",36.4481403607667
"228",63.2600285469408
"229",36.356111290062
"230",36.3676778674117
"231",63.1557340878311
"232",36.5039663551229
"233",63.1112234795469
"234",63.1180731662772
"235",36.3649823136526
"236",42.0436120896677
"237",43.6486191953974
"238",43.6101652926619
"239",42.0543155491695
"240",42.0097996029595
"241",43.663373090204
"242",41.9270838143027
"243",43.7160738920286
"244",41.9594615274016
"245",43.6353115792967
"246",38.0036376000004
"247",45.3058941625776
"248",40.5498583481534
"249",42.8132602905445
"250",45.3242212029257
"251",38.0188539931344
"252",42.8481986986257
"253",45.3166094962232
"254",38.0186253955757
"255",40.4926884946956
"256",42.7698203407215
"257",42.7845294345147
"258",40.5063788411952
"259",38.0339346949757
"260",45.3110047781571
"261",40.5757083728774
"262",42.8079810229815
"263",45.3903276735713
"264",38.0244204276081
"265",42.1418905438499
"266",38.7936122872312
"267",42.1718750573338
"268",38.7216264952732
"269",42.1723845206436
"270",38.810869806109
"271",42.1055543145892
"272",38.8481113635666
"273",38.8033665247996
"274",42.1381179780465
"275",54.8023028567861
"276",41.8904726840379
"277",54.7870821708765
"278",41.7551970882647
"279",54.6921709459482
"280",41.8400321510102
"281",54.8368887953627
"282",41.9088320703113
"283",41.8417403018483
"284",54.9255176628613
"285",34.1688395476272
"286",53.6124233082009
"287",61.7564299815424
"288",42.5569942974239
"289",53.6764580299505
"290",34.2072121340213
"291",61.8380027837752
"292",42.4497379331134
"293",53.6730729626769
"294",34.0710834099618
"295",42.3978531968962
"296",61.8330167596614
"297",42.3945935344061
"298",34.2471403359335
"299",53.5676265819262
"300",61.7686684735796
"301",34.1624514972215
"302",42.406277124225
"303",53.5727989346199
"304",61.8184912467649
"305",34.8346497157977
"306",60.6768709445632
"307",60.5071220730066
"308",34.7355044830424
"309",60.5968643295906
"310",34.7539728606381
"311",34.6924539066891
"312",60.5883700175662
"313",34.7451279966534
"314",60.4535933988691
"315",53.3343050986589
"316",43.4759722916451
"317",53.3824783224039
"318",43.5634008351936
"319",53.3743372758801
"320",43.4788162026499
"321",53.433048966426
"322",43.4116738018605
"323",43.3624307689345
"324",53.2443505202375
"325",44.3799944960013
"326",36.8782593815184
"327",51.8429097628675
"328",59.274037134166
"329",44.303597597753
"330",51.7655930678865
"331",36.8859122181211
"332",59.2878048677763
"333",59.2869857056246
"334",51.7731756272427
"335",36.8489760360975
"336",44.338103421149
"337",59.208830325871
"338",36.8482407187863
"339",44.3456390336697
"340",59.3476845710709
"341",51.8552910629387
"342",36.8518402076081
"343",44.2452997624593
"344",37.7772012509514
"345",57.7196243514475
"346",57.8039467401583
"347",37.8398333653095
"348",57.7961610290041
"349",37.8224589762936
"350",57.7545684883966
"351",37.6745052204303
"352",57.8985529209222
"353",37.8531907488578
"354",49.8583497435557
"355",42.110018510356
"356",49.852662214676
"357",42.0548519463492
"358",49.7850151368792
"359",42.2295596401746
"360",49.7600840029231
"361",42.1083408407003
"362",49.7749108857111
"363",42.0917517158903
"364",36.1967653309117
"365",42.9413501043454
"366",47.5889653084954
"367",54.3529746163642
"368",42.7684844205232
"369",47.550443583198
"370",47.5653932817667
"371",36.1747838182991
"372",54.3440650939415
"373",42.8630639942082
"374",36.1900293891999
"375",47.7003070258761
"376",54.3411210597112
