"","a"
"1",44.510902556523
"2",55.2937601490732
"3",44.6203373198524
"4",55.1486280094495
"5",55.3656468404289
"6",44.621258242792
"7",55.3882717576775
"8",44.6893379116924
"9",55.4058420937709
"10",44.6215479371464
"11",62.9503502143417
"12",52.9631834998895
"13",36.9414629256568
"14",47.0337157941484
"15",52.8723966830505
"16",46.9498942310535
"17",36.8949081171664
"18",63.1756870990718
"19",63.0527809748812
"20",53.0813787690259
"21",36.8918658308611
"22",46.9832660755374
"23",47.0262176207567
"24",37.0170899296651
"25",53.0342936597768
"26",63.0310705983036
"27",63.0741334351131
"28",47.0406846587129
"29",36.9224405629431
"30",53.0234342428596
"31",39.2853524491161
"32",60.6610467901826
"33",39.2535802039695
"34",60.8012007735735
"35",39.2853697967161
"36",60.6653930966047
"37",39.3635540734074
"38",60.685438029075
"39",39.2433334892999
"40",60.7316659697811
"41",41.9609562505958
"42",57.9810622434956
"43",41.9421252244698
"44",58.087800946078
"45",42.0553881605403
"46",58.0427390977618
"47",42.0088217563322
"48",58.0507194582215
"49",58.0169065000276
"50",42.0442143209549
"51",67.0860769713257
"52",42.9459130705712
"53",32.9026363862698
"54",57.0783809509247
"55",42.9623890514514
"56",32.9507701791727
"57",57.0123791975553
"58",67.0640996059359
"59",67.0903374638612
"60",42.9264594142746
"61",57.1233435751609
"62",33.0217405330665
"63",42.9212077243212
"64",32.9654481797213
"65",57.0650589145632
"66",67.0405455618953
"67",42.949095741891
"68",56.9709617933498
"69",67.0638101039278
"70",33.050498951996
"71",33.8940210432708
"72",66.0390952718432
"73",66.0443939606129
"74",33.9591281711254
"75",66.0726649895628
"76",33.9697913491396
"77",33.9782462448538
"78",65.9677431801589
"79",33.9237625154463
"80",65.9443822899444
"81",55.5860075954378
"82",44.4777190695421
"83",55.4630232041665
"84",44.5719371248727
"85",44.3902313777059
"86",55.5464457071858
"87",44.4131606119986
"88",55.5514943862153
"89",55.471917023565
"90",44.4740355147694
"91",46.6303206799032
"92",63.3822505579956
"93",36.7233980270521
"94",53.4034830660371
"95",46.7567170561243
"96",53.3681646975392
"97",63.2795715781717
"98",36.7554404026409
"99",53.3935931558561
"100",63.3323189141506
"101",36.7397133400377
"102",46.7842168353324
"103",36.6117081739404
"104",53.316883236658
"105",46.6798537034774
"106",63.3876510736982
"107",53.2051752194192
"108",46.6211891008853
"109",63.2182536444139
"110",36.7098786672922
"111",61.0292363725012
"112",38.9844105264963
"113",38.8896256240469
"114",61.046329012251
"115",38.9245222755518
"116",61.0967316264877
"117",61.1241678811472
"118",38.8927341780208
"119",38.9645875839963
"120",61.0692604096876
"121",45.0443402273418
"122",54.7438930670805
"123",54.6908667593017
"124",45.3541862387522
"125",54.6307173905831
"126",45.4998542565437
"127",54.7909350858209
"128",45.3039682557039
"129",45.4123920261762
"130",54.6849527654958
"131",51.8175495792876
"132",62.2041634004537
"133",48.0807045590724
"134",37.7471476000326
"135",52.0609426351601
"136",47.9272916079734
"137",62.1223930363228
"138",52.0662677909591
"139",38.0317505442259
"140",47.707969085502
"141",62.0999924331169
"142",47.9580065217376
"143",62.4285183079493
"144",52.0224864096181
"145",47.9142242507868
"146",52.0043187975184
"147",38.0783409686886
"148",61.733873926493
"149",59.2614825937326
"150",40.2380220214041
"151",59.2880156177115
"152",40.3019018422435
"153",59.2501378347599
"154",59.542305709793
"155",59.2334774830178
"156",40.5623235320916
"157",55.082868404225
"158",44.8148789844391
"159",44.931950910261
"160",55.1923543055508
"161",44.8099287257895
"162",55.179505973142
