OS,S,Q,Std,X,R
1,1,50,10,40,48.59934853
1,1,50,10,60,47.55700326
1,1,50,10,40,33.35504886
1,1,50,10,60,41.36807818
1,1,50,10,60,42.67100977
1,1,50,10,40,29.83713355
1,1,50,10,60,37.52442997
1,1,50,10,40,26.57980456
1,1,50,10,60,40.52117264
1,1,50,10,40,30.68403909
1,1,55,15,70,55.70032573
1,1,45,15,60,44.75570033
1,1,45,15,30,26.31921824
1,1,55,15,40,31.00977199
1,1,45,15,60,49.77198697
1,1,55,15,40,30.03257329
1,1,45,15,30,20.06514658
1,1,55,15,70,54.46254072
1,1,55,15,70,49.83713355
1,1,45,15,60,44.23452769
1,1,45,15,30,26.7752443
1,1,55,15,40,29.44625407
1,1,55,15,40,29.83713355
1,1,45,15,30,22.99674267
1,1,45,15,60,43.90879479
1,1,55,15,70,47.23127036
1,1,55,15,70,42.73615635
1,1,55,15,40,38.76221498
1,1,45,15,30,26.38436482
1,1,45,15,60,28.20846906
1,1,50,20,30,27.62214984
1,1,50,20,70,52.63843648
1,1,50,20,30,26.38436482
1,1,50,20,70,65.7980456
1,1,50,20,30,26.31921824
1,1,50,20,70,48.53420195
1,1,50,20,30,28.33876221
1,1,50,20,70,29.64169381
1,1,50,20,30,21.69381107
1,1,50,20,70,45.92833876
2,2,50,10,40,20.39087948
2,2,50,10,60,42.60586319
2,2,50,10,40,33.81107492
2,2,50,10,60,59.86970684
2,2,50,10,40,30.68403909
2,2,50,10,60,52.8990228
2,2,50,10,40,49.83713355
2,2,50,10,60,50.16286645
2,2,50,10,60,50.22801303
2,2,50,10,40,42.80130293
2,2,55,15,70,60.06514658
2,2,55,15,40,34.33224756
2,2,45,15,30,30.29315961
2,2,45,15,60,50.74918567
2,2,55,15,40,36.61237785
2,2,45,15,30,26.90553746
2,2,45,15,60,48.46905537
2,2,55,15,70,63.84364821
2,2,55,15,70,59.08794788
2,2,55,15,40,32.5732899
2,2,45,15,60,53.8762215
2,2,45,15,30,27.03583062
2,2,55,15,40,38.76221498
2,2,45,15,30,30.22801303
2,2,45,15,60,59.15309446
2,2,55,15,70,70.16286645
2,2,55,15,40,39.21824104
2,2,45,15,60,60.13029316
2,2,55,15,70,70.16286645
2,2,45,15,30,44.69055375
2,2,50,20,30,30.48859935
2,2,50,20,70,66.7752443
2,2,50,20,70,56.80781759
2,2,50,20,30,26.38436482
2,2,50,20,70,68.27361564
2,2,50,20,30,27.29641694
2,2,50,20,30,26.97068404
2,2,50,20,70,63.51791531
2,2,50,20,30,31.20521173
2,2,50,20,70,73.8762215
3,3,50,10,60,42.41042345
3,3,50,10,40,36.02605863
3,3,50,10,60,36.87296417
3,3,50,10,40,39.3485342
3,3,50,10,40,39.3485342
3,3,50,10,60,50.09771987
3,3,50,10,40,37.52442997
3,3,50,10,60,41.69381107
3,3,50,10,60,40.19543974
3,3,50,10,40,34.26710098
3,3,55,15,40,37.45928339
3,3,55,15,70,46.1237785
3,3,45,15,30,22.34527687
3,3,45,15,60,51.20521173
3,3,55,15,40,35.37459283
3,3,45,15,60,51.98697068
3,3,55,15,70,57.13355049
3,3,45,15,30,25.86319218
3,3,45,15,60,50.68403909
3,3,55,15,70,57.39413681
3,3,45,15,30,28.14332248
3,3,55,15,40,37.06840391
3,3,45,15,30,29.18566775
3,3,45,15,60,31.98697068
3,3,55,15,40,38.43648208
3,3,55,15,70,55.50488599
3,3,45,15,60,28.0781759
3,3,55,15,40,31.14006515
3,3,55,15,70,53.81107492
3,3,45,15,30,27.1009772
3,3,50,20,70,50.35830619
3,3,50,20,30,26.18892508
3,3,50,20,30,24.56026059
3,3,50,20,70,52.11726384
3,3,50,20,30,29.31596091
3,3,50,20,70,45.99348534
3,3,50,20,70,57.06840391
3,3,50,20,30,24.10423453
3,3,50,20,30,27.62214984
3,3,50,20,70,55.57003257
4,4,50,10,40,8.143322476
4,4,50,10,60,21.6286645
4,4,50,10,60,24.03908795
4,4,50,10,40,10.16286645
4,4,50,10,60,13.28990228
4,4,50,10,40,2.671009772
4,4,50,10,60,16.67752443
4,4,50,10,40,3.778501629
4,4,50,10,40,8.990228013
4,4,50,10,60,15.89576547
4,4,45,15,60,21.75895765
4,4,55,15,70,27.23127036
4,4,55,15,40,2.019543974
4,4,45,15,30,1.237785016
4,4,45,15,60,21.17263844
4,4,55,15,40,13.09446254
4,4,55,15,70,23.58306189
4,4,45,15,60,20.39087948
4,4,45,15,30,6.188925081
4,4,55,15,40,8.338762215
4,4,55,15,70,25.4723127
4,4,55,15,40,6.384364821
4,4,55,15,70,26.4495114
4,4,45,15,60,18.04560261
4,4,55,15,40,9.641693811
4,4,45,15,60,20.13029316
4,4,45,15,30,1.042345277
4,4,55,15,70,18.95765472
4,4,50,20,70,22.34527687
4,4,50,20,30,4.234527687
4,4,50,20,70,25.7980456
4,4,50,20,30,3.583061889
4,4,50,20,70,22.99674267
4,4,50,20,70,24.49511401
4,4,50,20,70,19.60912052
4,4,50,20,30,1.433224756
5,5,50,10,60,55.89576547
5,5,50,10,40,33.61563518
5,5,50,10,40,34.98371336
5,5,50,10,60,39.21824104
