"","a"
"1",35.2301579626854
"2",38.8639984435949
"3",38.7907424056893
"4",35.1927841112961
"5",38.8426183535187
"6",35.2052656519094
"7",35.1491527634654
"8",38.8340747360226
"9",35.2467135468053
"10",38.652504209317
"11",40.6107601553749
"12",35.2503667848349
"13",35.1398169029166
"14",29.8225492003419
"15",35.2297015273468
"16",40.7415381978853
"17",35.1671193472534
"18",29.8519930847811
"19",35.2248856023098
"20",29.8271282577174
"21",40.6349559206907
"22",35.2425315634558
"23",40.5238989209879
"24",35.1833427627338
"25",29.8054679189144
"26",35.2888688651929
"27",29.7504257100954
"28",40.6027809143957
"29",35.3399935827694
"30",35.2031948297745
"31",37.0752867338544
"32",29.7708428280784
"33",29.8480784113118
"34",37.1210134001801
"35",37.1472118789429
"36",29.8083889385991
"37",37.0426911353531
"38",29.8583245488287
"39",29.7261119318496
"40",36.9964983233203
"41",42.8074538483787
"42",49.9294350572606
"43",42.8206140062827
"44",49.9144097698576
"45",42.8601419970862
"46",49.8502426612936
"47",49.9265965146429
"48",42.8104128562596
"49",42.771069190741
"50",49.8883473887071
"51",37.0944698167896
"52",43.7134531516839
"53",54.2412993626282
"54",47.7528356884651
"55",37.1025162869511
"56",47.6581568047333
"57",54.3225447566212
"58",43.6648694781704
"59",54.1961687420055
"60",37.1104047995536
"61",43.6008326689499
"62",47.6474624907556
"63",37.1369445835043
"64",43.6533370217708
"65",47.7441986517734
"66",54.3048864825256
"67",54.304600657968
"68",37.1087549108951
"69",47.6726507779738
"70",43.6027580902952
"71",37.9945767896532
"72",52.1201632810475
"73",52.0834675308342
"74",37.9566530279968
"75",38.0010551290895
"76",52.0026969054966
"77",52.0645109801603
"78",37.9852585732946
"79",52.0523314212883
"80",37.9419466883624
"81",37.6029802195549
"82",39.0567492000319
"83",37.6897532400816
"84",39.0781373788648
"85",37.6366122028149
"86",39.0948164754523
"87",39.1150498372038
"88",39.0622056285595
"89",37.6707163348128
"90",32.9100685177698
"91",39.9168974574571
"92",37.7475705016244
"93",35.0040345093679
"94",32.8474302472067
"95",37.700869050325
"96",40.0064067559741
"97",37.7104712492837
"98",39.9438199788838
"99",32.8543831590653
"100",35.030398048985
"101",32.8999020242212
"102",39.9354244269206
"103",37.7576912650743
"104",35.0655282050602
"105",35.0539405818982
"106",39.9666784997242
"107",37.8529789350605
"108",32.9674445307734
"109",35.9129817238722
"110",32.9995305575366
"111",35.9340836177442
"112",32.982745854642
"113",32.9729545651509
"114",35.8937446120644
"115",35.86168842168
"116",33.0056734983637
"117",33.0097460180329
"118",35.8453597311773
"119",30.1085032220282
"120",28.2937181326965
"121",30.1105702771937
"122",28.3945018028101
"123",30.185854079781
"124",28.3486167912151
"125",28.4531599204175
"126",30.1644553774696
"127",28.4662332613181
"128",30.1912397028776
"129",28.382875606912
"130",25.0241808247425
"131",27.7962808730822
"132",31.078365660864
"133",28.3869552298194
"134",27.783441274016
"135",25.0877042856262
"136",27.8645113395279
"137",25.119761572153
"138",31.13565104957
"139",28.4044869906554
"140",25.1295953392616
"141",31.1233604302906
"142",28.5038125197133
"143",27.8242003357964
"144",31.1776721795418
"145",27.8078788373584
"146",25.1990374669036
"147",28.4508165980004
"148",25.1950611424301
"149",28.6704948799944
"150",25.2584890276268
"151",28.6534581583242
"152",28.6215461922938
"153",25.1243335176256
"154",25.1484717670342
"155",28.6523291136701
"156",28.7106755817304
"157",25.1135957741845
"158",55.0545542366862
"159",42.3237462674144
"160",42.3811081264477
"161",55.1514665313039
"162",42.4348722641865
"163",55.1224924093379
"164",42.3376749602433
"165",55.0442137158273
"166",55.0645654901913
"167",42.4298057318583
"168",54.0431413928508
"169",62.264500418784
"170",34.7857033349689
"171",43.0942956453867
"172",43.1059289113886
"173",62.1989722416903
"174",34.7735240345618
"175",53.907631735491
"176",34.7565547955309
"177",43.1218723526791
"178",54.0573354059762
"179",62.2767925131008
"180",62.2153793032298
"181",34.8532779979523
"182",53.9492137698308
"183",34.7877208849698
"184",42.9995100677483
"185",62.2576956039369
"186",54.0011547007138
"187",60.9600984565642
"188",35.5095534609824
"189",61.077715423536
"190",35.5920087105821
"191",35.5229205841393
"192",61.0435462382406
"193",35.4658185869664
"194",61.1527480854965
"195",61.0452824438329
"196",35.5742416758956
"197",57.3932782562684
"198",41.9179601924979
"199",57.3422247956271
"200",41.9806174597529
"201",41.9748958765876
"202",57.2300793516743
"203",57.374003676399
"204",42.0126509877533
"205",57.331943898126
"206",41.9641328388882
"207",42.4311841317245
"208",56.6690794697534
"209",65.4935279436851
"210",33.6304745690993
"211",42.5258867055244
"212",56.6976124128454
"213",65.4984810705421
"214",33.5643713016469
"215",33.6577864496105
"216",42.490730100118
"217",56.7035533077359
"218",65.5080479025462
"219",65.5525516370406
"220",33.6432456070276
"221",56.7004347882899
"222",42.3741400572701
"223",42.4995356954554
"224",33.5377143507998
"225",65.515539439327
"226",56.6312815528737
"227",34.065735267868
"228",64.7998406870364
"229",34.0891778782414
"230",64.8771001035601
"231",64.8126786262563
"232",34.0754741424841
"233",34.0880137746936
"234",64.8486683460101
"235",34.0956724234935
"236",64.8585261173213
"237",37.9293697934139
"238",39.9276595602477
"239",39.915294218401
"240",37.9444664003876
"241",37.9207566367654
"242",39.8665925642245
"243",40.0315339135063
"244",37.9116928366731
"245",37.8951702522291
"246",39.9619043846516
"247",38.0666552625815
"248",33.2561055612062
"249",41.0551908614225
"250",36.2235379583085
"251",33.2240166469438
"252",38.1507432593856
"253",41.0577963885467
"254",36.2429522263124
"255",38.0287307277506
"256",33.2428195787567
"257",36.2498806605421
"258",41.0531904043265
"259",40.9949489643697
"260",38.0724683648756
"261",33.2156004184022
"262",36.2171381679328
"263",40.9934570984721
"264",33.3112989077722
"265",38.0921858376429
"266",36.1600349412008
"267",33.4478645331185
"268",37.3280709077156
"269",37.392861975317
"270",33.4587518963794
"271",37.380520257021
"272",33.3978334614792
"273",33.4135190615432
"274",37.338678941996
"275",37.3467957666371
"276",33.3878619367075
"277",45.095173412018
"278",54.719392116392
"279",54.7482166356795
"280",45.2685860463395
"281",45.2136198703264
"282",54.6596668126474
"283",45.1786141923985
"284",54.7216709999734
"285",54.7566674501464
"286",45.1766134041433
"287",60.7671084449449
"288",38.9958876140592
"289",46.5687485782502
"290",53.3585463133892
"291",60.8010352487327
"292",53.2801857983456
"293",39.0192065795844
"294",46.5260128902912
"295",39.0710047886914
"296",46.5035003701073
"297",60.8308247198597
"298",53.4099939395478
"299",46.6056359304455
"300",38.9941996396843
"301",53.3868561673543
"302",60.8946781177403
"303",46.4610293539115
"304",53.4576227199926
"305",39.1243856204022
"306",60.8644129060186
"307",59.4503761814841
"308",40.3837180458016
"309",59.4671932995629
"310",40.3514820615757
"311",40.2934029342861
"312",59.5088901858469
"313",59.5218426309557
"314",40.2933143311874
"315",40.3919152600307
"316",59.5303274285234
"317",52.2450018008642
"318",52.1449145696753
"319",41.7697838269912
"320",52.131140013234
"321",41.9543094246464
"322",52.124659596186
"323",52.1749556870884
"324",41.8260783733831
"325",57.8723103837582
"326",50.1779594480122
"327",34.6425247042849
"328",57.8495261310785
"329",42.3285323633179
"330",50.2098326727257
"331",42.4335916832152
"332",34.6560078808568
"333",50.2635929702837
"334",57.9223477830918
"335",50.1742656940461
"336",58.0711394099409
"337",42.3696051020827
"338",34.6580573804732
"339",34.7168706689605
"340",42.3930303677359
"341",55.8805676603769
"342",35.1141069652934
"343",35.2806604582597
"344",56.0454388524942
"345",55.9361177934512
"346",35.2985051893981
"347",35.2663554804493
"348",55.988427726518
"349",35.2462554995783
