"","beta2","rho2","eta2","mu2","nu2"
"1",234.310339859159,147.985767238793,-0.870181685134976,35.6372287489273,101.880857416565
"2",56.5911294147046,150.252530211508,-0.304252048594479,44.9228757457037,182.361016991238
"3",135.723791321321,86.4269175726316,-0.722732841368314,39.5531798757898,96.5758966863741
"4",1248.92874657008,745.38245300839,-0.948754410711009,14.0831008767724,56.754166337
"5",151.863410469805,100.28770218384,-0.64123375054354,42.2369416649242,116.569226803913
"6",109.635038144708,358.171561566251,-0.0213504786461215,48.5265223389835,440.56694762958
"7",200.102447696878,85.1977162532929,-0.66575862840894,40.1452654839999,36.2825842886678
"8",89.2608083022413,248.609799388651,-0.360028767570015,44.6326309025605,284.626531389258
"9",113.693816689282,194.866488178277,-0.221969306620617,46.8881820186324,233.936276896436
"10",153.918304955793,169.977080723484,-0.54493916427169,40.6062037996363,177.655606795679
"11",56.920571467226,132.626861523267,-0.262880330286335,45.4970978453567,174.87571494943
"12",20.7566500027212,126.493496070708,-0.130638083206438,47.2548439243748,168.678885067979
"13",248.262565158311,476.339241702669,-0.0451337003943449,48.3130576326637,542.184173729799
"14",491.493100223874,228.363564717471,-0.965451675810688,28.5930920102266,119.302906237058
"15",652.111065466534,412.5759438166,-0.949211483747079,24.5802707569771,153.908835073424
"16",113.947704007163,216.962202117893,-0.498606924341329,44.2836253922833,286.249727558836
"17",72.9809656493563,111.177995792697,-0.345714996528242,44.8259185401223,149.896069677446
"18",115.484528239631,181.807774763743,-0.145082298098597,46.8776364295301,237.775946954326
"19",1536.85926012506,892.794810065252,-0.953352622177171,9.61616445618834,15.08346875061
"20",187.14418185715,125.5820429863,-0.271063171593267,46.3665050312036,130.407038641163
"21",49.3094962948993,167.332633998465,-0.217165872925348,46.2188902155592,211.107953698306
"22",93.881389848518,188.075182032779,-0.212480630839184,46.9076902181953,239.349062066612
"23",760.425044778793,515.385255038372,-0.948601321054555,23.1816810998949,266.526229322645
"24",35.5935853420416,100.38017123373,0.0118943349954585,49.0333036037933,141.531632817623
"25",207.584250038243,330.332373404818,-0.620094778518366,42.0355845841495,424.120360319743
"26",58.5618039166893,213.541391282754,-0.0945285342037033,46.9996707641289,262.400379225622
